symbol,market,name,industry,pe,pb,year,revenue,net_income,operating_cash_flow,shareholders_equity,total_assets,total_liabilities,asset_liability_ratio,capital_expenditure,free_cash_flow,goodwill,ebit,interest_expense,dividends_paid,non_performing_loan_ratio,solvency_ratio,duration_gap,net_gearing_ratio,roe
000001,CN,平安银行,,,,2016,107715000000.0,22599000000.0,10989000000.0,202171000000.0,,,0.9315471399999999,,,,,,,,,,,0.1318
000001,CN,平安银行,,,,2017,105786000000.0,23189000000.0,-118780000000.0,222054000000.0,,,0.9316435900000001,,,,,,,,,,,0.1162
000001,CN,平安银行,,,,2018,116716000000.0,24818000000.0,-57323000000.0,240042000000.0,,,0.92978337,,,,,,,,,,,0.1149
000001,CN,平安银行,,,,2019,137958000000.0,28195000000.0,-40025000000.0,312983000000.0,,,0.92054393,,,,,,,,,,,0.113
000001,CN,平安银行,,,,2020,153542000000.0,28928000000.0,-16161000000.0,364131000000.0,,,0.91851183,,,,,,,,,,,0.0958
000001,CN,平安银行,,,,2021,169383000000.0,36336000000.0,-192733000000.0,395448000000.0,,,0.91964692,,,,,,,,,,,0.1085
000001,CN,平安银行,,,,2022,179895000000.0,45516000000.0,134572000000.0,434680000000.0,,,0.91831647,,,,,,,,,,,0.12359999999999999
000001,CN,平安银行,,,,2023,164699000000.0,46455000000.0,92461000000.0,472328000000.0,,,0.91546121,,,,,,,,,,,0.11380000000000001
000001,CN,平安银行,,,,2024,146695000000.0,44508000000.0,63336000000.0,494842000000.0,,,0.9142279600000001,,,,,,,,,,,0.1008
000001,CN,平安银行,,,,2025,131442000000.0,42633000000.0,315858000000.0,551184000000.0,,,0.9069853600000001,,,,,,,,,,,0.0915
000002,CN,万  科Ａ,,,,2016,240477236923.34,21022606256.56,39566129021.69,161676571281.0,6.212588,,0.80536705,,,,,,,,,,,0.1968
000002,CN,万  科Ａ,,,,2017,242897110250.52,28051814882.36,82322834216.5,186673939158.29,5.531272,,0.83981256,,,,,,,,,,,0.228
000002,CN,万  科Ａ,,,,2018,297679331103.19,33772651678.61,33618183388.52,235620729997.58,5.615709,,0.84585639,,,,,,,,,,,0.2324
