市场,行业模型,优质池等级,历史可信度,数量,平均综合优质分,平均规则质量分,平均数据质量分,AI优质候选数量,AI已评估数量,短历史受限数量,短历史封顶生效数量,去短历史封顶可升核心数量
CN,周期,核心优质池,A 完整历史,2,90.0,100.0,100.0,1,2,0,0,0
CN,周期,优质池,A 完整历史,8,82.6,90.5,100.0,1,8,0,0,0
CN,周期,优质池,B 中等历史,1,86.5,98.0,87.0,0,1,0,0,0
CN,周期,可研究池,A 完整历史,8,74.0,89.2,100.0,0,8,0,0,0
CN,周期,可研究池,B 中等历史,2,72.6,77.0,93.5,0,2,0,0,0
CN,周期,观察池,A 完整历史,9,63.1,81.8,100.0,0,9,0,0,0
CN,消费,核心优质池,A 完整历史,7,92.2,98.4,100.0,5,7,0,0,0
CN,消费,核心优质池,B 中等历史,1,94.9,100.0,100.0,1,1,0,0,0
CN,消费,优质池,A 完整历史,7,82.8,81.6,100.0,1,7,0,0,0
CN,消费,优质池,B 中等历史,2,78.6,81.0,100.0,0,2,0,0,0
CN,消费,可研究池,A 完整历史,3,75.8,73.0,100.0,0,3,0,0,0
CN,消费,观察池,A 完整历史,1,67.8,53.0,100.0,0,0,0,0,0
CN,消费,观察池,B 中等历史,1,64.5,68.0,100.0,0,1,0,0,0
CN,科技,核心优质池,A 完整历史,30,91.4,99.2,100.0,22,30,0,0,0
CN,科技,核心优质池,B 中等历史,15,90.0,99.4,94.9,9,15,0,0,0
CN,科技,优质池,A 完整历史,89,83.2,89.4,100.0,20,89,0,0,0
CN,科技,优质池,B 中等历史,35,82.5,87.9,96.7,14,35,0,0,0
CN,科技,可研究池,A 完整历史,95,73.1,76.4,100.0,5,88,0,0,0
CN,科技,可研究池,B 中等历史,38,73.2,76.7,92.0,4,35,0,0,0
CN,科技,观察池,A 完整历史,43,63.7,66.4,100.0,1,34,0,0,0
CN,科技,观察池,B 中等历史,18,63.6,67.8,98.6,0,17,0,0,0
CN,通用,核心优质池,A 完整历史,291,91.4,99.3,100.0,195,291,0,0,0
CN,通用,核心优质池,B 中等历史,54,91.0,99.2,96.2,39,54,0,0,0
CN,通用,优质池,A 完整历史,591,83.1,89.6,100.0,102,591,0,0,0
CN,通用,优质池,B 中等历史,156,82.7,88.5,95.3,46,156,0,0,0
CN,通用,可研究池,A 完整历史,560,72.7,76.4,100.0,26,534,0,0,0
CN,通用,可研究池,B 中等历史,135,72.9,76.5,94.8,20,127,0,0,0
CN,通用,观察池,A 完整历史,240,64.3,66.2,100.0,1,185,0,0,0
CN,通用,观察池,B 中等历史,38,64.1,66.6,94.6,0,28,0,0,0
US,周期,优质池,C 短历史,76,78.0,98.3,80.0,52,76,76,76,49
US,周期,可研究池,C 短历史,125,73.3,93.9,79.2,37,125,125,89,3
US,周期,观察池,C 短历史,41,60.5,73.2,79.5,1,37,41,0,0
US,消费,优质池,C 短历史,32,78.0,94.3,80.0,21,32,32,32,17
US,消费,可研究池,C 短历史,34,72.1,83.6,79.4,21,33,34,23,0
US,消费,观察池,C 短历史,4,62.9,73.5,75.0,0,4,4,0,0
US,科技,优质池,C 短历史,35,78.0,95.1,79.4,29,35,35,35,25
US,科技,可研究池,C 短历史,88,73.2,89.0,79.8,56,87,88,68,4
US,科技,观察池,C 短历史,14,65.7,71.9,78.6,3,12,14,0,0
US,通用,优质池,C 短历史,145,78.0,96.2,79.6,103,145,145,145,93
US,通用,可研究池,C 短历史,286,73.1,89.3,79.8,136,280,286,201,22
US,通用,观察池,C 短历史,66,62.9,68.8,79.7,5,54,66,0,0
