股票,市场,名称,行业,来源,状态,原始年份数,标准化年份数,完整年份数,最早年份,最新年份,历史可信度,缺失字段摘要,来源摘要,需补历史
AEFC,US,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AFGB,US,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AFGC,US,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AFGD,US,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AFGE,US,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AGGY,US,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AGQ,US,ProShares Ultra Silver,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AGZD,US,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AHL$D,US,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AIVI,US,WisdomTree International AI Enhanced Value Fund,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AIVL,US,WisdomTree U.S. AI Enhanced Value Fund,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AIZN,US,"Assurant, Inc. 5.25% Subordinated Notes due 2061",,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AKAF,US,The Frontier Economic Fund,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
ALL$B,US,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
ALOY,US,REalloys Inc. - Common Stock,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
AMJB,US,Alerian MLP Index ETN,,auto:1,error:1,0,0,0,,,未知,-,auto:1,是
