symbol,market,name,industry,risk_status,risk_score,quality_grade,quality_score,quality_scored_weight,quality_confidence,trend_state,route,data_confidence,history_years,annual_data_as_of,quarterly_data_as_of,price_as_of,valuation_status,valuation_model,valuation_confidence,pool,pool_eligible,ranking_eligible,rank_within_pool,evidence_status,blocking_issues,route_blockers,pool_blockers
000001,CN,平安银行,,special_analysis,75,Q3,56.7,0.75,C,not_available,financial_special,C,10,,,,not_applicable,,D,financial_special,True,False,,not_requested,annual_data_as_of_missing|specialist_fields_missing=non_performing_loan_ratio,risk_status=special_analysis|trend=not_available|confidence=C,SPECIALIST_RANKING_BLOCKED
000002,CN,万  科Ａ,,watch,90,not_available,,0.55,D,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000006,CN,深振业Ａ,,pass,100,not_available,,0.55,D,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000007,CN,全新好,,pass,100,Q3,60.5,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000008,CN,神州高铁,,watch,90,not_available,,0.55,D,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000009,CN,中国宝安,,pass,100,Q3,63.0,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000011,CN,深物业A,,watch,65,Q5,5.6,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000012,CN,南  玻Ａ,,pass,100,Q4,48.3,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000014,CN,沙河股份,,watch,90,Q4,46.7,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000017,CN,深中华A,,watch,75,Q4,42.0,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000019,CN,深粮控股,,pass,100,Q3,66.4,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000020,CN,深华发Ａ,,pass,100,Q3,55.8,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000021,CN,深科技,,pass,100,Q2,70.5,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000025,CN,特  力Ａ,,watch,90,Q2,79.4,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000026,CN,飞亚达,,pass,100,Q3,66.9,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000027,CN,深圳能源,,pass,100,Q3,66.5,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000028,CN,国药一致,,pass,100,Q3,68.4,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000029,CN,深深房Ａ,,watch,75,Q4,36.8,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000030,CN,富奥股份,,pass,100,Q2,76.1,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000031,CN,大悦城,,watch,90,not_available,,0.55,D,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000032,CN,深桑达Ａ,,watch,80,Q4,46.5,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000034,CN,神州数码,,watch,65,Q4,38.5,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000035,CN,中国天楹,,pass,100,Q4,47.6,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
000036,CN,华联控股,,watch,75,Q4,46.9,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000037,CN,深南电A,,watch,75,not_available,,0.55,D,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,risk_status=watch|trend=not_available|confidence=C,NO_STRATEGY_POOL
000039,CN,中集集团,,pass,100,Q4,46.2,0.75,C,not_available,none,C,10,,,,indeterminate,,D,none,False,False,,not_requested,annual_data_as_of_missing,trend=not_available|confidence=C,NO_STRATEGY_POOL
