股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
000001,CN,平安银行,-,银行,不良率、拨备覆盖、资本充足率,-,-,11.1%,1.2%,-,90.7%,-,-,未分红/不适用,-6.1%,10,20,100,High,未知,排除,30,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；近5年营收增长偏弱
000002,CN,万  科Ａ,-,通用,ROE、现金流、资产负债率,-,-,5.3%,25.7%,-,76.9%,-,-,未分红/不适用,-15.3%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑
000006,CN,深振业Ａ,-,通用,ROE、现金流、资产负债率,-,-,-3.1%,29.8%,-,62.5%,-,-,未分红/不适用,-4.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000007,CN,全新好,-,通用,ROE、现金流、资产负债率,-,-,-0.3%,43.2%,-,48.0%,-,-,未分红/不适用,22.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000008,CN,神州高铁,-,通用,ROE、现金流、资产负债率,-,-,-9.9%,16.7%,-,73.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000009,CN,中国宝安,-,通用,ROE、现金流、资产负债率,-,-,6.8%,4.6%,-,59.8%,-,-,未分红/不适用,7.0%,10,10,100,High,未知,通过,100,-
000011,CN,深物业A,-,通用,ROE、现金流、资产负债率,-,-,22.5%,31.4%,-,79.0%,-,-,未分红/不适用,-16.5%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑
000012,CN,南  玻Ａ,-,通用,ROE、现金流、资产负债率,-,-,17.6%,26.5%,-,56.7%,-,-,未分红/不适用,0.1%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000014,CN,沙河股份,-,通用,ROE、现金流、资产负债率,-,-,22.9%,32.5%,-,25.0%,-,-,未分红/不适用,-16.6%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
000017,CN,深中华A,-,通用,ROE、现金流、资产负债率,-,-,-0.4%,25.9%,-,17.6%,-,-,未分红/不适用,45.3%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000019,CN,深粮控股,-,通用,ROE、现金流、资产负债率,-,-,8.1%,1.5%,-,32.3%,-,-,未分红/不适用,-14.2%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000020,CN,深华发Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.3%,8.8%,-,39.0%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000021,CN,深科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,7.8%,2.3%,-,39.0%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,科技公司营收增长转负
000025,CN,特  力Ａ,-,通用,ROE、现金流、资产负债率,-,-,8.1%,4.3%,-,24.7%,-,-,未分红/不适用,30.2%,10,10,100,High,未知,通过,100,-
000026,CN,飞亚达,-,通用,ROE、现金流、资产负债率,-,-,7.8%,3.2%,-,10.6%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000027,CN,深圳能源,-,通用,ROE、现金流、资产负债率,-,-,6.0%,3.3%,-,62.0%,-,-,未分红/不适用,7.7%,10,10,100,High,未知,通过,100,-
000028,CN,国药一致,-,通用,ROE、现金流、资产负债率,-,-,9.8%,3.1%,-,56.0%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,通过,100,-
000029,CN,深深房Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.0%,7.8%,-,10.6%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000030,CN,富奥股份,-,通用,ROE、现金流、资产负债率,-,-,11.4%,3.1%,-,49.3%,-,-,未分红/不适用,7.9%,10,10,100,High,未知,通过,100,-
000031,CN,大悦城,-,通用,ROE、现金流、资产负债率,-,-,3.6%,24.6%,-,77.3%,-,-,未分红/不适用,-7.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收增长偏弱
000032,CN,深桑达Ａ,-,通用,ROE、现金流、资产负债率,-,-,4.5%,4.2%,-,81.7%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,排除,30,10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000034,CN,神州数码,-,通用,ROE、现金流、资产负债率,-,-,13.2%,6.0%,-,79.4%,-,-,未分红/不适用,4.1%,10,10,100,High,未知,警惕,85,资产负债率偏高
000035,CN,中国天楹,-,通用,ROE、现金流、资产负债率,-,-,5.6%,3.1%,-,65.4%,-,-,未分红/不适用,-28.8%,10,10,100,High,未知,排除,60,近5年营收明显下滑
000036,CN,华联控股,-,通用,ROE、现金流、资产负债率,-,-,22.9%,24.8%,-,24.2%,-,-,未分红/不适用,-24.2%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
000037,CN,深南电A,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,33.3%,-,23.2%,-,-,未分红/不适用,-14.7%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
000039,CN,中集集团,-,通用,ROE、现金流、资产负债率,-,-,19.5%,29.3%,-,59.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000042,CN,中洲控股,-,通用,ROE、现金流、资产负债率,-,-,3.3%,39.1%,-,94.5%,-,-,未分红/不适用,-26.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；近5年营收明显下滑
000045,CN,深纺织Ａ,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,40.7%,-,20.8%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000048,CN,京基智农,-,通用,ROE、现金流、资产负债率,-,-,34.2%,32.4%,-,59.0%,-,-,未分红/不适用,10.9%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000049,CN,德赛电池,-,通用,ROE、现金流、资产负债率,-,-,19.9%,8.6%,-,60.6%,-,-,未分红/不适用,3.6%,10,10,100,High,未知,通过,100,-
000050,CN,深天马Ａ,-,通用,ROE、现金流、资产负债率,-,-,10.0%,22.1%,-,61.6%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000055,CN,方大集团,-,通用,ROE、现金流、资产负债率,-,-,15.5%,20.8%,-,55.4%,-,-,未分红/不适用,-1.3%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000058,CN,深 赛 格,-,通用,ROE、现金流、资产负债率,-,-,12.4%,24.4%,-,50.8%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000059,CN,华锦股份,-,通用,ROE、现金流、资产负债率,-,-,7.4%,19.5%,-,58.3%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000060,CN,中金岭南,-,通用,ROE、现金流、资产负债率,-,-,7.8%,2.4%,-,58.6%,-,-,未分红/不适用,8.0%,10,10,100,High,未知,通过,100,-
000061,CN,农 产 品,-,通用,ROE、现金流、资产负债率,-,-,16.1%,26.7%,-,53.8%,-,-,未分红/不适用,12.4%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000062,CN,深圳华强,-,通用,ROE、现金流、资产负债率,-,-,10.7%,4.1%,-,58.4%,-,-,未分红/不适用,2.2%,10,10,100,High,未知,通过,100,-
000063,CN,中兴通讯,-,通用,ROE、现金流、资产负债率,-,-,7.5%,14.1%,-,65.3%,-,-,未分红/不适用,4.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000065,CN,北方国际,-,通用,ROE、现金流、资产负债率,-,-,12.6%,3.1%,-,55.0%,-,-,未分红/不适用,1.0%,10,10,100,High,未知,通过,100,-
000066,CN,中国长城,-,通用,ROE、现金流、资产负债率,-,-,8.2%,35.4%,-,61.9%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000068,CN,华控赛格,-,通用,ROE、现金流、资产负债率,-,-,-6.2%,77.1%,-,73.6%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000069,CN,华侨城Ａ,-,通用,ROE、现金流、资产负债率,-,-,2.0%,19.4%,-,80.6%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑
000070,CN,特发信息,-,通用,ROE、现金流、资产负债率,-,-,5.6%,32.7%,-,78.6%,-,-,未分红/不适用,-1.0%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高
000088,CN,盐 田 港,-,通用,ROE、现金流、资产负债率,-,-,6.6%,1.7%,-,17.8%,-,-,未分红/不适用,6.0%,10,10,100,High,未知,通过,100,-
000089,CN,深圳机场,-,通用,ROE、现金流、资产负债率,-,-,1.9%,13.4%,-,52.9%,-,-,未分红/不适用,11.6%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000090,CN,天健集团,-,通用,ROE、现金流、资产负债率,-,-,10.9%,5.4%,-,74.3%,-,-,未分红/不适用,-0.8%,10,10,100,High,未知,警惕,85,资产负债率偏高
000096,CN,广聚能源,-,通用,ROE、现金流、资产负债率,-,-,4.9%,3.3%,-,25.4%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,排除,60,长期ROE低于5%
000099,CN,中信海直,-,通用,ROE、现金流、资产负债率,-,-,5.1%,1.3%,-,27.7%,-,-,未分红/不适用,7.4%,10,10,100,High,未知,通过,100,-
000100,CN,TCL科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,14.7%,14.7%,-,64.2%,-,-,未分红/不适用,3.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
